,year,fifa_ranking,mkt_val,avg_mkt_val,avg_age,goalie_mkt_val,goalie_age,def_mean_age,def_mkt_val,def_mean_mkt_val,mid_mean_age,mid_mkt_val,mid_mean_mkt_val,att_mean_age,att_mkt_val,att_mean_mkt_val
0,2024,66,111,4,27,3,29,27,29,3,26,42,5,26,34,5
1,2024,25,237,9,26,3,27,26,80,10,26,118,11,27,33,6
2,2024,3,584,23,26,7,32,28,92,11,24,216,30,26,264,37
3,2024,10,327,12,27,11,30,26,144,18,27,130,16,29,35,5
4,2024,36,187,7,25,7,24,25,55,6,26,53,6,25,63,7
5,2024,21,415,15,27,9,23,28,132,14,29,114,19,24,154,19
6,2024,4,1520,58,26,22,30,28,276,30,22,565,80,26,615,87
7,2024,2,1230,49,26,38,28,26,359,44,25,334,55,27,478,59
8,2024,75,161,6,27,35,23,29,6,0,25,13,1,26,103,12
9,2024,16,831,31,28,28,32,27,240,26,28,380,47,27,176,29
10,2024,26,164,6,27,3,34,27,42,4,25,97,10,27,19,4
11,2024,9,705,27,26,40,25,26,287,28,26,195,27,26,136,22
12,2024,7,765,30,26,18,21,27,272,34,25,291,36,26,159,26
13,2024,28,210,8,27,6,34,27,50,7,26,93,9,29,37,6
14,2024,6,1050,40,27,40,24,27,297,37,26,390,48,26,312,44
15,2024,46,92,3,27,3,24,27,35,4,26,23,3,26,27,3
16,2024,39,207,7,28,2,28,27,70,7,29,104,13,27,29,5
17,2024,33,312,12,27,20,24,28,57,7,27,97,12,26,122,17
18,2024,48,156,6,27,3,27,27,75,9,24,53,6,24,21,3
19,2024,57,140,5,27,28,31,26,21,2,27,27,3,26,61,10
20,2024,8,965,37,27,30,27,29,172,21,24,450,56,26,253,36
21,2024,19,281,10,27,5,35,28,81,11,27,80,10,26,71,8
22,2024,40,324,12,25,8,28,26,68,9,26,141,17,23,94,11
23,2024,22,379,14,26,25,25,25,138,13,27,61,10,26,122,17
