Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper
W,Portugal,7,3,4,0,9,5,4,13,"Cristiano Ronaldo, Nani - 3",Rui Patrício
,,,,,,,,,,,
F,France,7,5,1,1,13,5,8,16,Antoine Griezmann - 6,Hugo Lloris
,,,,,,,,,,,
SF,Wales,6,4,0,2,10,6,4,12,Gareth Bale - 3,Wayne Hennessey
SF,Germany,6,3,2,1,7,3,4,11,Mario Gómez - 2,Manuel Neuer
,,,,,,,,,,,
QF,Italy,5,3,1,1,6,2,4,10,Graziano Pellè - 2,Gianluigi Buffon
QF,Belgium,5,3,0,2,9,5,4,9,"Romelu Lukaku, Radja Nainggolan - 2",Thibaut Courtois
QF,Poland,5,2,3,0,4,2,2,9,Jakub Błaszczykowski - 2,Łukasz Fabiański
QF,Iceland,5,2,2,1,8,9,-1,8,"Birkir Bjarnason, Kolbeinn Sigþórsson - 2",Hannes Þór Halldórsson
,,,,,,,,,,,
R16,Croatia,4,2,1,1,5,4,1,7,Ivan Perišić - 2,Danijel Subašić
R16,Spain,4,2,0,2,5,4,1,6,Álvaro Morata - 3,David de Gea
R16,Switzerland,4,1,3,0,3,2,1,6,"Xherdan Shaqiri, Fabian Schär... - 1",Yann Sommer
R16,England,4,1,2,1,4,4,0,5,"Wayne Rooney, Daniel Sturridge... - 1",Joe Hart
R16,Hungary,4,1,2,1,6,8,-2,5,Balázs Dzsudzsák - 2,Gábor Király
R16,Rep. of Ireland,4,1,1,2,3,6,-3,4,Robbie Brady - 2,Darren Randolph
R16,Slovakia,4,1,1,2,3,6,-3,4,"Vladimír Weiss, Marek Hamšík... - 1",Matúš Kozáčik
R16,Northern Ireland,4,1,0,3,2,3,-1,3,"Gareth McAuley, Niall McGinn - 1",Michael McGovern
,,,,,,,,,,,
GR,Turkey,3,1,0,2,2,4,-2,3,"Ozan Tufan, Burak Yılmaz - 1",Volkan Babacan
GR,Albania,3,1,0,2,1,3,-2,3,Armando Sadiku - 1,Etrit Berisha
GR,Romania,3,0,1,2,2,4,-2,1,Bogdan Stancu - 2,Ciprian Tătărușanu
GR,Sweden,3,0,1,2,1,3,-2,1,,Andreas Isaksson
GR,Czechia,3,0,1,2,2,5,-3,1,"Tomáš Necid, Milan Škoda - 1",Petr Čech
GR,Austria,3,0,1,2,1,4,-3,1,Alessandro Schöpf - 1,Robert Almer
GR,Russia,3,0,1,2,2,6,-4,1,"Aleksei Berezutski, Denis Glushakov - 1",Igor Akinfeev
GR,Ukraine,3,0,0,3,0,5,-5,0,,Andriy Pyatov
